,URL
0,http://www.archanaskitchen.com/mango-ladoo-recipe
1,http://www.archanaskitchen.com/garlic-ginger-spiced-potato-wedges-recipe-baked
2,https://www.archanaskitchen.com/5-goan-meal-ideas-for-your-everyday-lunch-dinner
3,http://www.archanaskitchen.com/these-paneer-rolls-will-make-a-perfect-dinner-for-those-busy-weeknights
4,https://www.archanaskitchen.com/onion-tomato-dosa-savoury-waffles-recipe
5,https://www.archanaskitchen.com/vegetable-rice-upma-recipe-in-hindi
6,https://www.archanaskitchen.com/tag/parwal-potol-recipes
7,https://www.archanaskitchen.com/pineapple-and-semolina-sheera-recipe
8,https://www.archanaskitchen.com/aroshaliny-godfrey
9,https://www.archanaskitchen.com/spicy-mixed-vegetable-pulao-recipe-with-tofu-karnataka-style
10,https://www.archanaskitchen.com/priyanjali-joardar
11,https://www.archanaskitchen.com/cheesy-baked-ziti-pasta-recipe-with-roasted-mushroom-corn-in-hindi
12,https://www.archanaskitchen.com/tag/tagine-recipe
13,https://www.archanaskitchen.com/chilli-ginger-vegetable-tofu-stir-fry-recipe
14,https://www.archanaskitchen.com/kerala-mutton-pepper-fry-recipe
15,https://www.archanaskitchen.com/tangy-aam-ka-murabba-recipe
16,https://www.archanaskitchen.com/homemade-multigrain-baby-cereal-recipe-baby-porridge
17,https://www.archanaskitchen.com/ragi-kanji-salt-version-recipe-in-hindi
18,https://www.archanaskitchen.com/detox-blueberry-salad-recipe
19,https://www.archanaskitchen.com/tag/shandong-recipes
20,https://www.archanaskitchen.com/rumela-roy
21,http://www.archanaskitchen.com/achari-masala-recipe
22,https://www.archanaskitchen.com/idli-upma-recipe-in-hindi
23,http://www.archanaskitchen.com/stir-fried-brown-rice-and-wild-rice-topped-with-honey-glazed-tofu-recipe
24,https://www.archanaskitchen.com/thai-style-noodles-with-spinach-and-leeks-recipe
25,https://www.archanaskitchen.com/make-your-weekly-plan-delicious-with-bajra-matar-khichdi-chicken-vindaloo-and-much-more
